,,,1s/1Kv,
ANGULO,M1,M2,CPUT,
20,52,,48,
21,43,,80,
22,51,,57,
23,45,,51,
24,51,,57,
25,48,,70,
26,62,,56,
27,64,,69,
28,60,,85,
29,48,,74,
30,64,,54,
31,73,,95,
32,87,,170,
33,90,,182,
34,108,,309,
35,147,,345,
36,141,,440,
37,134,,389,
38,124,,232,
39,121,,176,
40,98,,92,
41,90,,98,
42,64,,93,
43,70,,50,
44,79,,118,
45,74,,74,
46,79,,46,
47,78,,44,
48,81,,74,
49,83,,62,
50,77,,80,
51,70,,59,
52,83,,75,
53,78,,50,
54,74,,75,
55,97,,53,
56,88,,64,
57,95,,60,
58,89,,53,
59,84,,74,
60,91,,62,
61,94,,83,
62,84,,85,
63,88,,89,
64,72,,116,
65,92,,93,
66,106,,62,
67,111,,65,
68,91,,81,
69,89,,104,
70,102,,91,
71,95,,79,
72,112,,86,
73,96,,83,
74,110,,100,
75,104,,86,
76,118,,109,
77,106,,89,
78,112,,86,
79,108,,92,
80,113,,65,
81,113,,69,
82,125,,133,
83,109,,105,
84,133,,77,
85,125,,77,
86,112,,106,
87,122,,90,
88,117,,143,
89,125,,93,
90,134,,105,
91,130,,96,
92,108,,57,
93,125,,136,
94,121,,89,
95,144,,91,
96,131,,101,
97,159,,82,
98,141,,123,
99,114,,178,
100,132,,117,
101,165,,125,
102,138,,104,
103,148,,107,
104,141,,104,
105,138,,134,
106,136,,142,
107,154,,107,
108,141,,108,
109,167,,156,
110,150,,127,
111,182,,101,
112,143,,106,
113,145,,124,
114,149,,107,
115,168,,95,
116,158,,134,
117,162,,137,
118,184,,131,
119,170,,153,
120,167,,143,
