wavelength,counts
339.70,573.67
340.08,573.67
340.45,573.67
340.83,573.67
341.20,573.67
341.58,573.67
341.95,553.54
342.33,580.45
342.70,558.45
343.08,536.22
343.45,530.37
343.82,538.09
344.20,533.88
344.57,532.94
344.95,572.96
345.32,557.98
345.70,551.43
346.07,577.64
346.44,597.54
346.82,591.92
347.19,593.33
347.57,589.11
347.94,609.48
348.32,628.90
348.69,639.20
349.06,664.24
349.44,666.12
349.81,694.44
350.18,668.22
350.56,673.14
350.93,698.18
351.31,691.86
351.68,713.40
352.05,716.91
352.43,730.48
352.80,705.20
353.17,740.31
353.55,725.33
353.92,737.50
354.30,731.18
354.67,745.93
355.04,755.76
355.42,747.33
355.79,734.69
356.16,750.38
356.54,755.52
356.91,749.91
357.28,737.50
357.66,758.57
358.03,747.80
358.40,753.89
358.77,745.23
359.15,729.54
359.52,746.63
359.89,732.35
360.27,747.10
360.64,737.03
361.01,731.89
361.39,748.74
361.76,741.01
362.13,729.78
362.50,728.61
362.88,737.50
363.25,740.08
363.62,748.97
364.00,731.18
364.37,700.76
364.74,746.86
365.11,726.03
365.49,730.25
365.86,728.37
366.23,727.91
366.60,720.42
366.97,752.48
367.35,724.40
367.72,728.61
368.09,725.80
368.46,714.80
368.84,720.18
369.21,710.35
369.58,743.12
369.95,733.29
370.32,742.18
370.70,732.35
371.07,721.12
371.44,730.72
371.81,730.01
372.18,730.95
372.56,748.04
372.93,736.10
373.30,741.48
373.67,746.86
374.04,743.59
374.42,771.44
374.79,769.80
375.16,757.40
375.53,770.27
375.90,733.52
376.27,773.78
376.65,785.48
377.02,791.34
377.39,786.65
377.76,800.93
378.13,813.10
378.50,835.81
378.87,826.44
379.24,825.51
379.62,851.49
379.99,879.34
380.36,895.49
380.73,920.06
381.10,941.83
381.47,966.41
381.84,1012.28
382.21,1034.28
382.58,1059.33
382.96,1101.69
383.33,1166.05
383.70,1203.27
384.07,1253.82
384.44,1296.19
384.81,1379.04
385.18,1488.11
385.55,1542.88
385.92,1646.57
386.29,1733.63
386.66,1807.13
387.03,1959.73
387.40,2041.42
387.77,2241.06
388.14,2353.41
388.52,2535.03
388.89,2707.53
389.26,2871.84
389.63,3114.32
390.00,3281.43
390.37,3577.27
390.74,3838.01
391.11,4133.15
391.48,4419.17
391.85,4773.29
392.22,5106.58
392.59,5403.13
392.96,5887.38
393.33,6342.85
393.70,6810.26
394.07,7209.55
394.44,7807.56
394.81,8251.32
395.18,8846.76
395.55,9517.79
395.92,10092.86
396.29,10736.97
396.66,11405.90
397.03,12133.10
397.40,12921.16
397.76,13649.07
398.13,14447.89
398.50,15270.83
398.87,16130.04
399.24,16850.69
399.61,17837.46
399.98,18625.52
400.35,19498.07
400.72,20376.00
401.09,21297.94
401.46,22144.74
401.83,22989.21
402.20,23871.36
402.57,24552.45
402.93,25469.24
403.30,26084.33
403.67,26951.97
404.04,27520.72
404.41,28282.80
404.78,28706.44
405.15,29098.01
405.52,29614.56
405.89,29596.31
406.26,29722.93
406.62,29764.12
406.99,29362.96
407.36,29440.19
407.73,28849.21
408.10,28436.57
408.47,27801.82
408.84,27123.30
409.20,26056.01
409.57,25266.32
409.94,24158.31
410.31,22999.04
410.68,21943.93
411.05,20841.07
411.41,19778.46
411.78,18685.43
412.15,17516.80
412.52,16670.23
412.89,15608.56
413.26,14696.69
413.62,13968.08
413.99,13209.75
414.36,12510.87
414.73,11967.86
415.10,11289.11
415.46,10813.51
415.83,10352.19
416.20,9823.23
416.57,9418.32
416.93,9070.98
417.30,8651.09
417.67,8339.09
418.04,7999.25
418.41,7693.34
418.77,7336.18
419.14,7150.57
419.51,6837.88
419.88,6591.18
420.24,6331.85
420.61,6081.41
420.98,5792.83
421.34,5575.39
421.71,5339.46
422.08,5133.73
422.45,4836.72
422.81,4635.43
423.18,4458.49
423.55,4235.20
423.92,4029.47
424.28,3870.08
424.65,3654.04
425.02,3487.16
425.38,3333.86
425.75,3210.04
426.12,3089.74
426.48,2913.97
426.85,2803.96
427.22,2706.60
427.58,2629.83
427.95,2562.18
428.32,2430.88
428.68,2335.62
429.05,2290.92
429.42,2235.45
429.78,2140.65
430.15,2100.16
430.52,2020.82
430.88,1983.14
431.25,1898.17
431.62,1878.98
431.98,1832.17
432.35,1783.25
432.71,1744.64
433.08,1705.78
433.45,1658.74
433.81,1627.61
434.18,1591.80
434.55,1547.56
434.91,1501.45
435.28,1451.60
435.64,1434.51
436.01,1430.77
436.38,1372.49
436.74,1349.55
437.11,1308.83
437.47,1313.04
437.84,1285.42
438.20,1248.68
438.57,1228.31
438.94,1163.01
439.30,1145.46
439.67,1141.95
440.03,1119.48
440.40,1119.24
440.76,1094.43
441.13,1088.35
441.49,1061.90
441.86,1039.90
442.22,1030.77
442.59,1020.24
442.96,1004.32
443.32,981.15
443.69,968.05
444.05,981.15
444.42,961.02
444.78,947.68
445.15,957.98
445.51,906.02
445.88,912.81
446.24,924.51
446.61,909.06
446.97,914.45
447.34,892.45
447.70,893.85
448.07,877.93
448.43,893.15
448.79,864.83
449.16,866.93
449.52,856.40
449.89,867.17
450.25,844.93
450.62,829.25
450.98,842.83
451.35,828.78
451.71,821.53
452.07,840.95
452.44,829.25
452.80,819.89
453.17,816.14
453.53,801.63
453.90,813.57
454.26,805.61
454.62,802.10
454.99,780.80
455.35,797.89
455.72,798.12
456.08,791.10
456.44,793.68
456.81,801.17
457.17,799.06
457.54,781.27
457.90,778.23
458.26,778.93
458.63,805.14
458.99,782.21
459.35,761.84
459.72,789.70
460.08,748.50
460.45,759.97
460.81,765.59
461.17,778.46
461.54,778.70
461.90,780.33
462.26,744.99
462.63,773.55
462.99,741.48
463.35,774.95
463.72,757.87
464.08,756.23
464.44,746.63
464.80,767.93
465.17,766.29
465.53,770.97
465.89,765.82
466.26,779.16
466.62,762.08
466.98,776.36
467.35,753.89
467.71,759.97
468.07,759.97
468.43,762.55
468.80,761.61
469.16,764.42
469.52,739.38
469.88,747.10
470.25,759.74
470.61,746.63
470.97,760.44
471.33,750.61
471.70,759.97
472.06,768.87
472.42,760.91
472.78,762.55
473.15,767.46
473.51,745.46
473.87,751.55
474.23,772.38
474.59,765.82
474.96,752.72
475.32,756.46
475.68,763.95
476.04,757.87
476.40,751.08
476.77,763.48
477.13,771.21
477.49,729.78
477.85,748.74
478.21,759.97
478.57,737.97
478.94,761.84
479.30,746.63
479.66,748.97
480.02,739.84
480.38,757.16
480.74,758.57
481.11,754.35
481.47,742.18
481.83,768.63
482.19,754.82
482.55,744.99
482.91,748.50
483.27,739.14
483.63,752.72
484.00,759.50
484.36,754.59
484.72,759.97
485.08,752.01
485.44,759.27
485.80,755.76
486.16,765.36
486.52,723.23
486.88,748.74
487.24,745.69
487.61,751.08
487.97,749.91
488.33,752.72
488.69,724.16
489.05,743.12
489.41,762.31
489.77,770.50
490.13,758.33
490.49,730.95
490.85,738.67
491.21,757.63
491.57,769.57
491.93,749.44
492.29,753.89
492.65,762.55
493.01,757.63
493.37,754.35
493.73,760.91
494.09,754.35
494.45,754.35
494.81,749.21
495.17,752.25
495.53,740.78
495.89,763.25
496.25,759.97
496.61,754.12
496.97,746.16
497.33,740.08
497.69,746.16
498.05,746.16
498.41,762.55
498.77,740.55
499.13,758.33
499.49,765.12
499.85,744.52
500.21,776.59
500.57,750.61
500.93,761.14
501.29,759.74
501.65,749.67
502.01,744.29
502.37,743.12
502.72,749.44
503.08,742.89
503.44,753.18
503.80,758.57
504.16,718.78
504.52,731.65
504.88,755.29
505.24,742.42
505.60,752.95
505.96,761.14
506.31,748.74
506.67,744.29
507.03,768.40
507.39,758.80
507.75,741.01
508.11,735.86
508.47,730.95
508.83,760.44
509.18,748.50
509.54,731.42
509.90,754.59
510.26,761.84
510.62,739.14
510.98,753.65
511.33,752.25
511.69,747.57
512.05,734.69
512.41,731.89
512.77,742.89
513.12,743.12
513.48,742.18
513.84,739.61
514.20,738.67
514.56,747.33
514.91,761.61
515.27,740.31
515.63,746.63
515.99,764.18
516.35,745.93
516.70,736.57
517.06,726.03
517.42,742.89
517.78,753.65
518.13,743.12
518.49,724.86
518.85,757.16
519.21,731.89
519.56,733.29
519.92,727.67
520.28,754.35
520.64,736.33
520.99,751.31
521.35,719.48
521.71,743.35
522.07,741.01
522.42,747.57
522.78,736.80
523.14,740.78
523.49,744.06
523.85,753.89
524.21,746.40
524.56,719.71
524.92,746.86
525.28,737.27
525.64,744.99
525.99,742.18
526.35,748.74
526.71,747.80
527.06,735.86
527.42,740.78
527.78,725.57
528.13,741.48
528.49,741.72
528.84,746.86
529.20,724.40
529.56,744.99
529.91,739.84
530.27,727.44
530.63,748.50
530.98,754.35
531.34,734.23
531.69,726.97
532.05,745.23
532.41,741.48
532.76,763.95
533.12,762.08
533.47,726.03
533.83,729.78
534.19,734.69
534.54,736.10
534.90,737.27
535.25,750.84
535.61,737.03
535.97,742.42
536.32,746.16
536.68,744.29
537.03,732.12
537.39,738.91
537.74,752.25
538.10,749.91
538.45,743.59
538.81,748.74
