wavelength,counts
339.70,959.62
340.08,959.62
340.45,959.62
340.83,959.62
341.20,959.62
341.58,959.62
341.95,948.15
342.33,946.04
342.70,940.43
343.08,937.85
343.45,931.77
343.82,950.49
344.20,932.24
344.57,937.85
344.95,953.30
345.32,942.77
345.70,983.49
346.07,972.49
346.44,975.30
346.82,976.47
347.19,990.75
347.57,993.56
347.94,1011.81
348.32,1000.81
348.69,1024.22
349.06,1038.96
349.44,1031.47
349.81,1048.79
350.18,1077.35
350.56,1075.48
350.93,1082.03
351.31,1077.82
351.68,1086.01
352.05,1100.05
352.43,1091.16
352.80,1094.20
353.17,1120.65
353.55,1126.27
353.92,1099.12
354.30,1103.80
354.67,1111.99
355.04,1131.88
355.42,1120.88
355.79,1104.50
356.16,1128.37
356.54,1131.41
356.91,1130.24
357.28,1128.14
357.66,1115.73
358.03,1135.86
358.40,1117.84
358.77,1141.48
359.15,1125.10
359.52,1113.39
359.89,1116.20
360.27,1130.24
360.64,1111.05
361.01,1100.05
361.39,1105.67
361.76,1114.10
362.13,1115.73
362.50,1108.24
362.88,1103.09
363.25,1108.01
363.62,1108.48
364.00,1094.67
364.37,1098.88
364.74,1086.01
365.11,1103.80
365.49,1110.35
365.86,1116.20
366.23,1106.37
366.60,1114.80
366.97,1102.86
367.35,1110.82
367.72,1086.94
368.09,1102.16
368.46,1096.78
368.84,1077.58
369.21,1125.10
369.58,1109.18
369.95,1110.12
370.32,1111.05
370.70,1095.37
371.07,1091.63
371.44,1113.86
371.81,1105.20
372.18,1104.03
372.56,1121.58
372.93,1105.67
373.30,1087.88
373.67,1098.41
374.04,1111.05
374.42,1126.97
374.79,1108.48
375.16,1105.90
375.53,1116.44
375.90,1109.88
376.27,1111.99
376.65,1121.82
377.02,1107.07
377.39,1108.71
377.76,1100.99
378.13,1100.75
378.50,1106.14
378.87,1090.69
379.24,1103.56
379.62,1099.82
379.99,1106.14
380.36,1115.73
380.73,1116.90
381.10,1100.99
381.47,1104.73
381.84,1108.95
382.21,1081.80
382.58,1089.29
382.96,1105.44
383.33,1114.33
383.70,1103.09
384.07,1108.01
384.44,1112.69
384.81,1120.41
385.18,1124.39
385.55,1100.99
385.92,1118.54
386.29,1109.18
386.66,1092.80
387.03,1119.71
387.40,1122.75
387.77,1113.86
388.14,1115.73
388.52,1113.86
388.89,1126.03
389.26,1113.16
389.63,1112.69
390.00,1099.35
390.37,1098.88
390.74,1111.29
391.11,1095.37
391.48,1114.80
391.85,1112.46
392.22,1090.46
392.59,1095.37
392.96,1101.22
393.33,1102.16
393.70,1117.14
394.07,1113.39
394.44,1110.58
394.81,1104.03
395.18,1096.78
395.55,1094.43
395.92,1106.14
396.29,1102.63
396.66,1114.10
397.03,1119.48
397.40,1125.10
397.76,1107.07
398.13,1103.33
398.50,1116.67
398.87,1119.24
399.24,1115.50
399.61,1103.80
399.98,1105.67
400.35,1105.90
400.72,1104.26
401.09,1115.97
401.46,1098.88
401.83,1098.65
402.20,1115.27
402.57,1101.22
402.93,1108.01
403.30,1111.05
403.67,1120.18
404.04,1104.97
404.41,1111.99
404.78,1122.75
405.15,1103.09
405.52,1113.16
405.89,1103.33
406.26,1113.86
406.62,1118.54
406.99,1131.88
407.36,1117.84
407.73,1117.84
408.10,1110.12
408.47,1114.56
408.84,1117.84
409.20,1107.54
409.57,1107.31
409.94,1124.86
410.31,1115.97
410.68,1105.20
411.05,1111.99
411.41,1120.41
411.78,1139.61
412.15,1108.01
412.52,1113.86
412.89,1120.18
413.26,1119.01
413.62,1140.07
413.99,1117.84
414.36,1116.67
414.73,1148.03
415.10,1140.54
415.46,1153.88
415.83,1120.65
416.20,1138.20
416.57,1102.39
416.93,1131.41
417.30,1141.01
417.67,1156.46
418.04,1147.56
418.41,1142.65
418.77,1132.82
419.14,1138.90
419.51,1134.69
419.88,1153.65
420.24,1142.18
420.61,1164.42
420.98,1185.01
421.34,1161.84
421.71,1152.71
422.08,1174.71
422.45,1165.59
422.81,1183.37
423.18,1186.89
423.55,1204.21
423.92,1202.33
424.28,1196.95
424.65,1224.10
425.02,1207.48
425.38,1217.55
425.75,1235.10
426.12,1220.82
426.48,1264.12
426.85,1255.00
427.22,1260.85
427.58,1280.04
427.95,1299.93
428.32,1313.04
428.68,1283.08
429.05,1301.81
429.42,1320.53
429.78,1352.83
430.15,1352.36
430.52,1390.04
430.88,1394.96
431.25,1418.36
431.62,1420.71
431.98,1446.69
432.35,1463.30
432.71,1508.24
433.08,1537.50
433.45,1537.26
433.81,1555.05
434.18,1577.76
434.55,1590.39
434.91,1632.06
435.28,1637.91
435.64,1701.34
436.01,1735.51
436.38,1713.04
436.74,1772.96
437.11,1827.49
437.47,1840.36
437.84,1922.05
438.20,1941.94
438.57,1977.28
438.94,2011.46
439.30,2045.86
439.67,2112.10
440.03,2176.00
440.40,2196.36
440.76,2242.00
441.13,2318.30
441.49,2352.94
441.86,2403.50
442.22,2456.86
442.59,2515.37
442.96,2562.42
443.32,2598.70
443.69,2680.62
444.05,2723.21
444.42,2777.28
444.78,2803.49
445.15,2845.39
445.51,2877.92
445.88,2936.90
446.24,2947.67
446.61,2953.99
446.97,3004.55
447.34,3016.95
447.70,2997.06
448.07,2958.67
448.43,2987.93
448.79,3021.87
449.16,2952.35
449.52,2940.18
449.89,2927.31
450.25,2909.75
450.62,2836.73
450.98,2825.73
451.35,2758.09
451.71,2740.77
452.07,2677.34
452.44,2643.64
452.80,2577.87
453.17,2548.14
453.53,2477.22
453.90,2440.24
454.26,2382.67
454.62,2365.11
454.99,2317.36
455.35,2253.00
455.72,2228.19
456.08,2191.68
456.44,2144.87
456.81,2132.93
457.17,2095.72
457.54,2050.78
457.90,2043.05
458.26,1993.43
458.63,1973.54
458.99,1957.86
459.35,1926.96
459.72,1897.24
460.08,1879.68
460.45,1836.15
460.81,1837.09
461.17,1773.19
461.54,1781.15
461.90,1772.49
462.26,1701.57
462.63,1658.50
462.99,1610.99
463.35,1528.14
463.72,1450.43
464.08,1410.87
464.44,1368.51
464.80,1377.41
465.17,1376.94
465.53,1367.81
465.89,1405.73
466.26,1416.26
466.62,1425.15
466.98,1473.37
467.35,1540.31
467.71,1527.43
468.07,1530.48
468.43,1507.31
468.80,1492.79
469.16,1491.16
469.52,1468.45
469.88,1456.98
470.25,1454.64
470.61,1440.37
470.97,1431.94
471.33,1411.11
471.70,1422.11
472.06,1405.02
472.42,1402.21
472.78,1379.04
473.15,1367.81
473.51,1370.38
473.87,1351.66
474.23,1336.45
474.59,1341.83
474.96,1336.21
475.32,1350.72
475.68,1340.19
476.04,1307.19
476.40,1339.72
476.77,1306.72
477.13,1314.68
477.49,1290.34
477.85,1306.96
478.21,1286.12
478.57,1297.59
478.94,1295.95
479.30,1302.04
479.66,1283.08
480.02,1299.47
480.38,1287.29
480.74,1268.10
481.11,1274.42
481.47,1255.70
481.83,1257.10
482.19,1252.65
482.55,1252.19
482.91,1253.82
483.27,1247.74
483.63,1276.29
484.00,1257.80
484.36,1238.38
484.72,1245.87
485.08,1256.40
485.44,1247.74
485.80,1226.91
486.16,1219.42
486.52,1213.57
486.88,1233.70
487.24,1187.59
487.61,1184.78
487.97,1203.50
488.33,1204.91
488.69,1167.46
489.05,1196.95
489.41,1182.44
489.77,1182.44
490.13,1174.48
490.49,1183.37
490.85,1178.93
491.21,1185.48
491.57,1190.16
491.93,1185.95
492.29,1189.69
492.65,1166.05
493.01,1193.91
493.37,1173.78
493.73,1166.52
494.09,1173.31
494.45,1133.05
494.81,1157.39
495.17,1153.42
495.53,1157.39
495.89,1169.57
496.25,1166.76
496.61,1142.65
496.97,1186.18
497.33,1159.97
497.69,1140.54
498.05,1146.39
498.41,1159.03
498.77,1158.80
499.13,1130.95
499.49,1154.82
499.85,1142.88
500.21,1141.01
500.57,1156.22
500.93,1131.18
501.29,1150.61
501.65,1167.69
502.01,1144.29
502.37,1150.14
502.72,1141.95
503.08,1138.20
503.44,1143.59
503.80,1141.25
504.16,1137.50
504.52,1130.01
504.88,1141.01
505.24,1124.63
505.60,1138.67
505.96,1146.86
506.31,1128.37
506.67,1135.86
507.03,1127.90
507.39,1128.37
507.75,1134.69
508.11,1131.88
508.47,1129.54
508.83,1133.76
509.18,1125.80
509.54,1131.65
509.90,1142.42
510.26,1136.10
510.62,1132.59
510.98,1132.59
511.33,1125.10
511.69,1130.24
512.05,1126.03
512.41,1122.29
512.77,1137.27
513.12,1132.35
513.48,1123.93
513.84,1144.29
514.20,1138.20
514.56,1126.03
514.91,1124.39
515.27,1124.63
515.63,1128.37
515.99,1141.01
516.35,1152.01
516.70,1133.05
517.06,1143.59
517.42,1127.90
517.78,1110.82
518.13,1112.46
518.49,1114.33
518.85,1117.61
519.21,1133.29
519.56,1133.29
519.92,1133.76
520.28,1122.99
520.64,1144.52
520.99,1120.65
521.35,1131.65
521.71,1134.69
522.07,1143.35
522.42,1148.97
522.78,1122.99
523.14,1123.22
523.49,1107.07
523.85,1131.18
524.21,1132.35
524.56,1132.59
524.92,1107.31
525.28,1128.84
525.64,1120.18
525.99,1112.46
526.35,1120.65
526.71,1122.99
527.06,1129.54
527.42,1107.07
527.78,1114.33
528.13,1123.93
528.49,1106.37
528.84,1127.20
529.20,1124.63
529.56,1131.18
529.91,1136.56
530.27,1126.97
530.63,1108.71
530.98,1136.33
531.34,1136.10
531.69,1123.93
532.05,1118.31
532.41,1127.44
532.76,1119.01
533.12,1138.20
533.47,1111.99
533.83,1119.01
534.19,1132.12
534.54,1121.58
534.90,1115.50
535.25,1115.73
535.61,1134.22
535.97,1110.35
536.32,1141.71
536.68,1124.39
537.03,1135.39
537.39,1128.61
537.74,1126.03
538.10,1137.73
538.45,1144.52
538.81,1131.18
539.16,1113.16
539.52,1119.95
539.88,1124.16
540.23,1134.93
540.59,1120.88
540.94,1123.93
541.30,1120.65
541.65,1114.10
542.01,1124.16
542.36,1112.69
542.72,1140.78
543.07,1134.46
543.43,1130.95
543.78,1119.71
544.14,1114.33
544.49,1141.71
544.84,1120.65
545.20,1123.93
545.55,1133.29
545.91,1126.03
546.26,1104.73
546.62,1122.99
546.97,1125.56
547.33,1132.59
547.68,1115.97
548.04,1119.48
548.39,1124.39
548.74,1114.56
549.10,1123.93
549.45,1134.69
549.81,1134.22
550.16,1121.12
550.51,1127.67
550.87,1127.20
551.22,1137.73
551.58,1113.39
551.93,1132.59
552.28,1149.91
552.64,1117.14
552.99,1132.12
553.35,1124.86
553.70,1109.88
554.05,1136.10
554.41,1115.73
554.76,1134.22
