wavelength,counts
339.70,601.52
340.08,601.52
340.45,601.52
340.83,601.52
341.20,601.52
341.58,601.52
341.95,552.37
342.33,622.58
342.70,531.30
343.08,629.60
343.45,617.90
343.82,592.16
344.20,575.77
344.57,608.54
344.95,578.11
345.32,634.29
345.70,624.92
346.07,634.29
346.44,629.60
346.82,650.67
347.19,641.31
347.57,648.33
347.94,692.80
348.32,706.84
348.69,713.86
349.06,692.80
349.44,751.31
349.81,720.89
350.18,695.14
350.56,720.89
350.93,770.04
351.31,751.31
351.68,748.97
352.05,744.29
352.43,751.31
352.80,732.59
353.17,788.76
353.55,791.10
353.92,809.83
354.30,746.63
354.67,725.57
355.04,798.12
355.42,746.63
355.79,725.57
356.16,821.53
356.54,767.70
356.91,781.74
357.28,795.78
357.66,784.08
358.03,800.46
358.40,770.04
358.77,788.76
359.15,830.89
359.52,788.76
359.89,755.99
360.27,716.20
360.64,760.67
361.01,744.29
361.39,755.99
361.76,741.95
362.13,732.59
362.50,802.80
362.88,793.44
363.25,751.31
363.62,758.33
364.00,765.36
364.37,748.97
364.74,732.59
365.11,763.01
365.49,741.95
365.86,781.74
366.23,809.83
366.60,741.95
366.97,786.42
367.35,781.74
367.72,730.25
368.09,805.14
368.46,732.59
368.84,816.85
369.21,767.70
369.58,720.89
369.95,725.57
370.32,746.63
370.70,723.23
371.07,751.31
371.44,732.59
371.81,711.52
372.18,748.97
372.56,774.72
372.93,770.04
373.30,751.31
373.67,807.48
374.04,758.33
374.42,737.27
374.79,706.84
375.16,781.74
375.53,791.10
375.90,753.65
376.27,739.61
376.65,758.33
377.02,758.33
377.39,767.70
377.76,784.08
378.13,727.91
378.50,763.01
378.87,823.87
379.24,784.08
379.62,842.59
379.99,770.04
380.36,739.61
380.73,741.95
381.10,748.97
381.47,767.70
381.84,763.01
382.21,720.89
382.58,793.44
382.96,770.04
383.33,720.89
383.70,781.74
384.07,798.12
384.44,772.38
384.81,744.29
385.18,814.51
385.55,809.83
385.92,784.08
386.29,758.33
386.66,730.25
387.03,793.44
387.40,706.84
387.77,751.31
388.14,730.25
388.52,746.63
388.89,732.59
389.26,772.38
389.63,751.31
390.00,760.67
390.37,798.12
390.74,795.78
391.11,737.27
391.48,725.57
391.85,741.95
392.22,706.84
392.59,781.74
392.96,774.72
393.33,732.59
393.70,732.59
394.07,819.19
394.44,755.99
394.81,828.55
395.18,781.74
395.55,786.42
395.92,777.06
396.29,861.32
396.66,802.80
397.03,758.33
397.40,842.59
397.76,746.63
398.13,753.65
398.50,753.65
398.87,734.93
399.24,734.93
399.61,774.72
399.98,723.23
400.35,816.85
400.72,718.54
401.09,767.70
401.46,821.53
401.83,849.61
402.20,753.65
402.57,767.70
402.93,758.33
403.30,819.19
403.67,746.63
404.04,779.40
404.41,791.10
404.78,755.99
405.15,795.78
405.52,763.01
405.89,802.80
406.26,741.95
406.62,758.33
406.99,823.87
407.36,772.38
407.73,781.74
408.10,772.38
408.47,788.76
408.84,774.72
409.20,861.32
409.57,784.08
409.94,758.33
410.31,763.01
410.68,777.06
411.05,842.59
411.41,805.14
411.78,753.65
412.15,760.67
412.52,774.72
412.89,770.04
413.26,777.06
413.62,748.97
413.99,760.67
414.36,781.74
414.73,847.27
415.10,802.80
415.46,725.57
415.83,798.12
416.20,770.04
416.57,744.29
416.93,711.52
417.30,758.33
417.67,718.54
418.04,807.48
418.41,746.63
418.77,812.17
419.14,781.74
419.51,779.40
419.88,826.21
420.24,760.67
420.61,849.61
420.98,807.48
421.34,772.38
421.71,788.76
422.08,788.76
422.45,770.04
422.81,809.83
423.18,737.27
423.55,650.67
423.92,781.74
424.28,821.53
424.65,767.70
425.02,725.57
425.38,653.01
425.75,788.76
426.12,840.25
426.48,849.61
426.85,751.31
427.22,800.46
427.58,786.42
427.95,758.33
428.32,791.10
428.68,807.48
429.05,758.33
429.42,767.70
429.78,823.87
430.15,746.63
430.52,774.72
430.88,779.40
431.25,798.12
431.62,753.65
431.98,739.61
432.35,784.08
432.71,861.32
433.08,844.93
433.45,751.31
433.81,786.42
434.18,744.29
434.55,786.42
434.91,788.76
435.28,809.83
435.64,812.17
436.01,840.25
436.38,826.21
436.74,844.93
437.11,774.72
437.47,788.76
437.84,833.23
438.20,765.36
438.57,828.55
438.94,842.59
439.30,798.12
439.67,819.19
440.03,793.44
440.40,809.83
440.76,863.66
441.13,854.30
441.49,795.78
441.86,1041.54
442.22,1249.85
442.59,1600.93
442.96,2572.25
443.32,3775.28
443.69,5596.22
444.05,7442.90
444.42,9905.15
444.78,10565.18
445.15,8468.06
445.51,6689.25
445.88,5118.75
446.24,2363.94
446.61,1102.39
446.97,877.70
447.34,877.70
447.70,882.38
448.07,812.17
448.43,819.19
448.79,734.93
449.16,821.53
449.52,861.32
449.89,861.32
450.25,781.74
450.62,786.42
450.98,774.72
451.35,809.83
451.71,793.44
452.07,786.42
452.44,763.01
452.80,809.83
453.17,814.51
453.53,760.67
453.90,833.23
454.26,791.10
454.62,788.76
454.99,772.38
455.35,833.23
455.72,774.72
456.08,805.14
456.44,791.10
