wavelength,counts
339.70,753.65
340.08,753.65
340.45,753.65
340.83,753.65
341.20,753.65
341.58,753.65
341.95,777.06
342.33,751.31
342.70,777.06
343.08,753.65
343.45,716.20
343.82,758.33
344.20,709.18
344.57,720.89
344.95,781.74
345.32,788.76
345.70,751.31
346.07,741.95
346.44,805.14
346.82,809.83
347.19,765.36
347.57,805.14
347.94,786.42
348.32,840.25
348.69,802.80
349.06,856.64
349.44,889.40
349.81,896.43
350.18,922.17
350.56,830.89
350.93,847.27
351.31,901.11
351.68,844.93
352.05,973.66
352.43,915.15
352.80,926.85
353.17,992.39
353.55,945.58
353.92,903.45
354.30,922.17
354.67,947.92
355.04,894.08
355.42,849.61
355.79,929.19
356.16,966.64
356.54,875.36
356.91,929.19
357.28,912.81
357.66,966.64
358.03,905.79
358.40,959.62
358.77,961.96
359.15,950.26
359.52,976.00
359.89,945.58
360.27,947.92
360.64,950.26
361.01,952.60
361.39,922.17
361.76,898.77
362.13,873.02
362.50,966.64
362.88,877.70
363.25,922.17
363.62,912.81
364.00,884.72
364.37,901.11
364.74,901.11
365.11,950.26
365.49,889.40
365.86,905.79
366.23,898.77
366.60,931.53
366.97,922.17
367.35,877.70
367.72,922.17
368.09,938.55
368.46,978.34
368.84,901.11
369.21,896.43
369.58,919.83
369.95,877.70
370.32,952.60
370.70,938.55
371.07,929.19
371.44,924.51
371.81,887.06
372.18,915.15
372.56,910.47
372.93,898.77
373.30,924.51
373.67,905.79
374.04,861.32
374.42,929.19
374.79,912.81
375.16,978.34
375.53,966.64
375.90,983.03
376.27,905.79
376.65,950.26
377.02,945.58
377.39,896.43
377.76,943.24
378.13,931.53
378.50,784.08
378.87,945.58
379.24,858.98
379.62,922.17
379.99,917.49
380.36,917.49
380.73,910.47
381.10,908.13
381.47,880.04
381.84,947.92
382.21,891.74
382.58,912.81
382.96,908.13
383.33,933.87
383.70,940.90
384.07,931.53
384.44,940.90
384.81,959.62
385.18,924.51
385.55,919.83
385.92,887.06
386.29,961.96
386.66,863.66
387.03,905.79
387.40,875.36
387.77,912.81
388.14,971.32
388.52,940.90
388.89,966.64
389.26,891.74
389.63,926.85
390.00,976.00
390.37,943.24
390.74,990.05
391.11,945.58
391.48,849.61
391.85,961.96
392.22,919.83
392.59,889.40
392.96,926.85
393.33,933.87
393.70,908.13
394.07,887.06
394.44,884.72
394.81,980.68
395.18,940.90
395.55,952.60
395.92,922.17
396.29,887.06
396.66,844.93
397.03,964.30
397.40,933.87
397.76,947.92
398.13,905.79
398.50,933.87
398.87,947.92
399.24,868.34
399.61,931.53
399.98,931.53
400.35,901.11
400.72,947.92
401.09,889.40
401.46,919.83
401.83,912.81
402.20,922.17
402.57,912.81
402.93,901.11
403.30,861.32
403.67,887.06
404.04,926.85
404.41,877.70
404.78,931.53
405.15,924.51
405.52,835.57
405.89,929.19
406.26,905.79
406.62,910.47
406.99,966.64
407.36,959.62
407.73,926.85
408.10,936.21
408.47,919.83
408.84,919.83
409.20,968.98
409.57,952.60
409.94,882.38
410.31,961.96
410.68,994.73
411.05,901.11
411.41,973.66
411.78,894.08
412.15,924.51
412.52,912.81
412.89,908.13
413.26,891.74
413.62,938.55
413.99,959.62
414.36,1018.13
414.73,947.92
415.10,990.05
415.46,992.39
415.83,950.26
416.20,957.28
416.57,1053.24
416.93,1055.58
417.30,983.03
417.67,978.34
418.04,936.21
418.41,898.77
418.77,999.41
419.14,1064.94
419.51,1018.13
419.88,1048.56
420.24,1062.60
420.61,1004.09
420.98,1069.62
421.34,1093.03
421.71,1132.82
422.08,1100.05
422.45,1076.65
422.81,1128.14
423.18,1102.39
423.55,1153.88
423.92,1125.80
424.28,1207.72
424.65,1177.29
425.02,1310.70
425.38,1210.06
425.75,1289.64
426.12,1242.82
426.48,1308.36
426.85,1270.91
427.22,1401.98
427.58,1416.02
427.95,1448.79
428.32,1390.28
428.68,1458.15
429.05,1514.33
429.42,1451.13
429.78,1504.96
430.15,1504.96
430.52,1577.52
430.88,1586.88
431.25,1535.39
431.62,1516.67
431.98,1504.96
432.35,1551.78
432.71,1537.73
433.08,1519.01
433.45,1509.65
433.81,1427.73
434.18,1313.04
434.55,1343.47
434.91,1233.46
435.28,1205.38
435.64,1233.46
436.01,1181.97
436.38,1153.88
436.74,1144.52
437.11,1095.37
437.47,1088.35
437.84,1093.03
438.20,1071.97
438.57,1060.26
