wavelength,counts
339.70,581.62
340.08,581.62
340.45,581.62
340.83,581.62
341.20,581.62
341.58,581.62
341.95,562.20
342.33,534.11
342.70,572.50
343.08,541.37
343.45,547.45
343.82,550.73
344.20,547.69
344.57,562.20
344.95,567.58
345.32,555.41
345.70,577.88
346.07,577.41
346.44,583.03
346.82,601.99
347.19,597.30
347.57,611.82
347.94,638.26
348.32,633.58
348.69,624.22
349.06,659.56
349.44,656.75
349.81,667.52
350.18,671.73
350.56,684.61
350.93,698.42
351.31,677.59
351.68,695.84
352.05,691.39
352.43,723.69
352.80,706.61
353.17,718.08
353.55,714.33
353.92,708.95
354.30,722.29
354.67,731.18
355.04,725.10
355.42,733.29
355.79,738.91
356.16,723.93
356.54,731.18
356.91,749.67
357.28,747.80
357.66,732.12
358.03,716.20
358.40,730.25
358.77,731.65
359.15,713.40
359.52,731.18
359.89,744.52
360.27,722.52
360.64,721.12
361.01,732.12
361.39,729.78
361.76,744.29
362.13,734.93
362.50,703.57
362.88,741.48
363.25,721.59
363.62,701.22
364.00,728.61
364.37,736.80
364.74,720.65
365.11,729.78
365.49,719.95
365.86,725.33
366.23,698.42
366.60,707.78
366.97,708.71
367.35,732.35
367.72,703.57
368.09,710.12
368.46,723.46
368.84,732.12
369.21,712.46
369.58,701.69
369.95,705.67
370.32,713.63
370.70,731.42
371.07,728.84
371.44,711.76
371.81,726.97
372.18,726.03
372.56,729.31
372.93,716.20
373.30,697.48
373.67,729.78
374.04,698.88
374.42,738.67
374.79,724.86
375.16,709.18
375.53,725.33
375.90,725.57
376.27,730.01
376.65,708.48
377.02,725.80
377.39,718.54
377.76,721.59
378.13,725.80
378.50,735.86
378.87,716.67
379.24,725.10
379.62,707.31
379.99,717.37
380.36,732.59
380.73,700.29
381.10,732.82
381.47,719.48
381.84,722.52
382.21,718.54
382.58,706.61
382.96,716.67
383.33,738.44
383.70,733.76
384.07,709.65
384.44,708.25
384.81,718.54
385.18,735.86
385.55,732.59
385.92,724.86
386.29,736.10
386.66,726.50
387.03,723.69
