wavelength,counts
339.70,574.13
340.08,574.13
340.45,574.13
340.83,574.13
341.20,574.13
341.58,574.13
341.95,540.90
342.33,546.28
342.70,540.66
343.08,549.09
343.45,535.98
343.82,540.20
344.20,536.22
344.57,535.98
344.95,535.05
345.32,541.83
345.70,583.96
346.07,554.00
346.44,571.09
346.82,565.24
347.19,604.79
347.57,584.43
347.94,611.11
348.32,620.48
348.69,633.82
349.06,654.65
349.44,633.58
349.81,656.75
350.18,667.99
350.56,690.46
350.93,666.82
351.31,696.08
351.68,706.14
352.05,708.95
352.43,724.16
352.80,705.20
353.17,699.82
353.55,708.01
353.92,716.91
354.30,734.93
354.67,721.82
355.04,704.97
355.42,737.50
355.79,731.65
356.16,724.63
356.54,732.82
356.91,724.63
357.28,736.80
357.66,734.93
358.03,717.84
358.40,717.14
358.77,712.46
359.15,727.44
359.52,706.14
359.89,723.46
360.27,712.23
360.64,721.59
361.01,708.95
361.39,724.40
361.76,709.42
362.13,722.06
362.50,695.61
362.88,699.82
363.25,720.89
363.62,707.08
364.00,728.84
364.37,721.82
364.74,700.05
365.11,717.37
365.49,731.18
365.86,706.84
366.23,693.03
366.60,710.82
366.97,713.63
367.35,702.63
367.72,711.05
368.09,716.20
368.46,726.74
368.84,705.20
369.21,711.76
369.58,704.50
369.95,701.69
370.32,704.27
370.70,708.25
371.07,702.86
371.44,729.54
371.81,720.18
372.18,723.93
372.56,728.61
372.93,736.10
373.30,711.99
373.67,718.78
374.04,727.67
374.42,720.18
374.79,720.65
375.16,717.61
375.53,734.69
375.90,707.08
376.27,722.99
376.65,711.99
377.02,709.65
377.39,711.52
377.76,706.37
378.13,715.03
378.50,715.27
378.87,727.44
379.24,718.31
379.62,720.65
379.99,709.88
380.36,728.84
380.73,710.59
381.10,712.93
381.47,725.80
381.84,727.44
382.21,722.99
382.58,715.74
382.96,723.93
383.33,733.52
383.70,725.10
384.07,729.54
384.44,741.25
384.81,719.95
385.18,732.82
385.55,742.18
385.92,752.95
386.29,726.97
386.66,741.01
387.03,721.35
387.40,733.06
387.77,715.50
388.14,727.91
388.52,740.78
388.89,724.63
389.26,740.55
389.63,741.48
390.00,726.27
390.37,758.57
390.74,748.27
391.11,740.78
391.48,748.04
391.85,738.67
392.22,768.40
392.59,785.95
392.96,778.93
393.33,799.76
393.70,823.17
394.07,830.66
394.44,891.28
394.81,888.23
395.18,910.94
395.55,953.07
395.92,988.64
396.29,1010.18
396.66,1054.65
397.03,1083.90
397.40,1148.97
397.76,1209.82
398.13,1298.06
398.50,1366.40
398.87,1434.51
399.24,1554.35
399.61,1624.80
399.98,1724.51
400.35,1831.94
400.72,1974.48
401.09,2108.12
401.46,2300.04
401.83,2481.44
402.20,2688.11
402.57,2860.60
402.93,3133.74
403.30,3317.24
403.67,3503.55
404.04,3757.03
404.41,4041.40
404.78,4298.39
405.15,4491.25
405.52,4777.74
405.89,4960.30
406.26,5175.63
406.62,5380.42
406.99,5426.06
407.36,5577.73
407.73,5614.24
408.10,5610.03
408.47,5590.60
408.84,5504.24
409.20,5368.02
409.57,5259.18
409.94,5151.99
410.31,4944.38
410.68,4852.16
411.05,4682.71
411.41,4554.92
411.78,4420.57
412.15,4235.90
412.52,4092.19
412.89,3968.61
413.26,3762.18
413.62,3671.60
413.99,3530.93
414.36,3386.05
414.73,3287.98
415.10,3147.32
415.46,3008.76
415.83,2889.16
416.20,2793.43
416.57,2722.75
416.93,2662.59
417.30,2526.37
417.67,2497.82
418.04,2388.28
418.41,2338.20
418.77,2240.59
419.14,2167.57
419.51,2092.91
419.88,2052.65
420.24,2007.01
420.61,1953.41
420.98,1854.64
421.34,1809.00
421.71,1749.78
422.08,1687.29
422.45,1637.91
422.81,1544.29
423.18,1509.88
423.55,1430.07
423.92,1361.96
424.28,1304.38
424.65,1258.27
425.02,1189.93
425.38,1136.33
425.75,1071.73
426.12,1067.52
426.48,996.37
426.85,953.77
427.22,920.77
427.58,890.11
427.95,867.87
428.32,855.00
428.68,867.64
429.05,874.19
429.42,860.61
429.78,874.19
430.15,904.85
430.52,920.53
430.88,922.17
431.25,925.45
431.62,920.06
431.98,941.83
432.35,940.90
432.71,904.62
433.08,915.62
433.45,911.64
433.81,921.70
434.18,932.47
434.55,904.38
434.91,897.60
435.28,877.93
435.64,872.55
436.01,873.96
436.38,870.91
436.74,872.08
437.11,854.30
437.47,846.57
437.84,811.00
438.20,840.25
438.57,819.66
438.94,829.02
439.30,818.72
439.67,802.34
440.03,798.59
440.40,790.63
440.76,799.53
441.13,812.40
441.49,799.53
441.86,803.51
442.22,792.97
442.59,770.04
442.96,775.42
443.32,780.80
443.69,784.55
444.05,787.36
444.42,770.04
444.78,768.40
445.15,749.21
445.51,760.67
445.88,788.29
446.24,757.40
446.61,763.25
446.97,768.63
447.34,762.78
447.70,763.48
448.07,748.97
448.43,727.44
448.79,730.01
449.16,729.78
449.52,759.74
449.89,732.35
450.25,732.35
450.62,739.14
450.98,744.29
451.35,717.84
451.71,749.21
452.07,727.20
452.44,733.29
452.80,729.78
453.17,737.27
453.53,762.08
453.90,752.72
454.26,725.57
454.62,738.44
454.99,759.50
455.35,750.14
455.72,734.46
456.08,741.72
456.44,744.29
456.81,758.10
457.17,771.21
457.54,762.31
457.90,763.95
458.26,772.14
458.63,761.84
458.99,758.33
459.35,764.65
459.72,748.97
460.08,770.04
460.45,764.18
460.81,753.65
461.17,738.91
461.54,776.36
461.90,782.91
462.26,755.06
462.63,760.67
462.99,761.84
463.35,749.21
463.72,775.65
464.08,763.25
464.44,755.99
464.80,754.82
465.17,770.74
465.53,791.34
465.89,780.33
466.26,757.87
466.62,771.67
466.98,798.82
467.35,798.82
467.71,800.00
468.07,810.29
468.43,812.17
468.80,824.34
469.16,852.89
469.52,858.27
469.88,863.19
470.25,934.81
470.61,901.81
470.97,949.09
471.33,960.79
471.70,992.39
472.06,1021.64
472.42,1086.24
472.78,1134.46
473.15,1208.89
473.51,1299.93
473.87,1381.85
474.23,1471.26
474.59,1611.22
474.96,1729.66
475.32,1883.43
475.68,2015.90
476.04,2150.72
476.40,2220.00
