wavelength,counts
339.70,563.37
340.08,563.37
340.45,563.37
340.83,563.37
341.20,563.37
341.58,563.37
341.95,542.07
342.33,554.94
342.70,545.81
343.08,528.96
343.45,542.30
343.82,543.94
344.20,527.32
344.57,548.86
344.95,521.71
345.32,543.47
345.70,578.58
346.07,577.88
346.44,571.09
346.82,589.58
347.19,586.77
347.57,589.35
347.94,593.09
348.32,615.09
348.69,620.48
349.06,648.09
349.44,642.95
349.81,664.24
350.18,645.52
350.56,695.84
350.93,671.73
351.31,671.97
351.68,689.99
352.05,685.31
352.43,700.99
352.80,692.33
353.17,707.08
353.55,716.20
353.92,715.27
354.30,722.99
354.67,697.25
355.04,732.82
355.42,721.35
355.79,727.91
356.16,737.50
356.54,719.01
356.91,716.44
357.28,711.52
357.66,743.59
358.03,716.44
358.40,701.93
358.77,732.12
359.15,712.23
359.52,718.54
359.89,705.44
360.27,717.84
360.64,715.74
361.01,706.37
361.39,700.76
361.76,718.78
362.13,735.16
362.50,717.14
362.88,704.03
363.25,718.54
363.62,692.10
364.00,717.37
364.37,684.61
364.74,704.50
365.11,697.25
365.49,706.14
365.86,704.03
366.23,704.74
366.60,717.14
366.97,722.52
367.35,701.93
367.72,700.99
368.09,693.03
368.46,698.88
368.84,721.35
369.21,701.22
369.58,706.84
369.95,703.10
370.32,680.63
370.70,707.31
371.07,715.50
371.44,701.93
371.81,700.52
372.18,694.67
372.56,718.78
372.93,703.57
373.30,709.42
373.67,716.67
374.04,697.71
374.42,696.31
374.79,721.35
375.16,711.76
375.53,703.57
375.90,715.74
376.27,700.76
376.65,705.20
377.02,704.50
377.39,719.01
377.76,724.16
378.13,706.61
378.50,710.35
378.87,704.97
379.24,719.48
379.62,723.69
379.99,732.12
380.36,721.59
380.73,731.65
381.10,725.10
381.47,721.35
381.84,720.18
382.21,708.25
382.58,741.01
382.96,739.84
383.33,738.20
383.70,751.31
384.07,743.59
384.44,763.25
384.81,769.10
385.18,762.78
385.55,787.82
385.92,778.70
386.29,804.44
386.66,806.78
387.03,816.61
387.40,829.49
387.77,824.80
388.14,843.76
388.52,879.57
388.89,890.81
389.26,913.98
389.63,929.89
390.00,958.68
390.37,981.62
390.74,1024.45
391.11,1052.07
391.48,1097.24
391.85,1123.22
392.22,1163.95
392.59,1202.33
392.96,1245.40
393.33,1312.81
393.70,1379.75
394.07,1454.88
394.44,1487.41
394.81,1590.39
395.18,1670.44
395.55,1771.32
395.92,1870.09
396.29,1940.77
396.66,2031.82
397.03,2149.31
397.40,2281.32
397.76,2376.58
398.13,2511.86
398.50,2637.78
398.87,2747.09
399.24,2892.90
399.61,3042.46
399.98,3198.81
400.35,3366.86
400.72,3488.57
401.09,3652.87
401.46,3819.99
401.83,3961.36
402.20,4139.94
402.57,4269.61
402.93,4437.19
403.30,4514.43
403.67,4682.71
404.04,4827.59
404.41,5023.02
404.78,5071.24
405.15,5192.95
405.52,5292.42
405.89,5348.36
406.26,5406.87
406.62,5464.21
406.99,5392.59
407.36,5377.61
407.73,5405.23
408.10,5292.19
408.47,5258.95
408.84,5155.97
409.20,4987.92
409.57,4779.84
409.94,4673.35
410.31,4539.23
410.68,4327.42
411.05,4192.60
411.41,4021.27
411.78,3869.37
412.15,3641.87
412.52,3499.33
412.89,3338.54
413.26,3170.49
413.62,3012.50
413.99,2929.41
414.36,2815.90
414.73,2724.62
415.10,2600.80
415.46,2508.82
415.83,2412.62
416.20,2330.47
416.57,2279.92
416.93,2224.91
417.30,2111.87
417.67,2100.86
418.04,2016.84
418.41,1975.18
418.77,1921.58
419.14,1879.45
419.51,1810.64
419.88,1777.64
420.24,1715.14
420.61,1659.44
420.98,1620.35
421.34,1584.54
421.71,1541.24
422.08,1499.82
422.45,1442.24
422.81,1393.55
423.18,1337.62
423.55,1338.55
423.92,1259.44
424.28,1221.06
424.65,1197.89
425.02,1182.44
425.38,1168.63
425.75,1144.52
426.12,1137.50
426.48,1115.50
426.85,1105.20
427.22,1079.46
427.58,1039.90
427.95,1024.22
428.32,1013.22
428.68,1012.98
429.05,1001.05
429.42,983.03
429.78,973.90
430.15,958.45
430.52,935.28
430.88,950.02
431.25,940.66
431.62,944.64
431.98,933.87
432.35,898.06
432.71,902.28
433.08,899.23
433.45,879.34
433.81,891.51
434.18,868.57
434.55,850.08
434.91,852.19
435.28,849.38
435.64,869.98
436.01,854.06
436.38,850.08
436.74,840.25
437.11,818.95
437.47,845.64
437.84,819.19
438.20,808.42
438.57,793.91
438.94,805.38
439.30,800.00
439.67,806.55
440.03,804.68
440.40,786.42
440.76,774.02
441.13,770.27
441.49,755.06
441.86,759.50
442.22,747.33
442.59,764.89
442.96,757.16
443.32,763.01
443.69,761.84
444.05,747.57
444.42,764.89
