wavelength,counts
339.70,582.56
340.08,582.56
340.45,582.56
340.83,582.56
341.20,582.56
341.58,582.56
341.95,594.50
342.33,576.24
342.70,569.92
343.08,584.67
343.45,574.84
343.82,576.01
344.20,583.26
344.57,566.41
344.95,584.90
345.32,579.05
345.70,565.01
346.07,584.43
346.44,608.07
346.82,607.84
347.19,617.43
347.57,656.99
347.94,633.35
348.32,653.71
348.69,667.05
349.06,669.39
349.44,672.67
349.81,669.86
350.18,701.46
350.56,703.57
350.93,701.69
351.31,709.88
351.68,737.50
352.05,727.91
352.43,723.23
352.80,733.99
353.17,752.95
353.55,752.25
353.92,734.69
354.30,733.76
354.67,765.36
355.04,778.70
355.42,757.63
355.79,736.80
356.16,763.72
356.54,765.59
356.91,769.57
357.28,766.76
357.66,764.65
358.03,776.12
358.40,767.46
358.77,754.12
359.15,743.82
359.52,757.40
359.89,759.74
360.27,769.57
360.64,765.36
361.01,762.78
361.39,753.89
361.76,752.48
362.13,739.84
362.50,755.52
362.88,748.27
363.25,732.12
363.62,745.23
364.00,742.89
364.37,753.42
364.74,736.80
365.11,757.87
365.49,730.25
365.86,737.97
366.23,729.31
366.60,731.42
366.97,737.97
367.35,759.04
367.72,745.69
368.09,744.52
368.46,734.69
368.84,763.01
369.21,748.97
369.58,746.86
369.95,736.57
370.32,740.78
370.70,752.72
371.07,739.14
371.44,735.86
371.81,735.16
372.18,751.31
372.56,749.91
372.93,753.89
373.30,751.78
373.67,743.82
374.04,743.59
374.42,749.67
374.79,755.99
375.16,741.72
375.53,733.29
375.90,773.08
376.27,740.78
376.65,748.27
377.02,752.72
377.39,748.27
377.76,736.10
378.13,748.04
378.50,761.38
378.87,761.14
379.24,751.78
379.62,774.72
379.99,757.16
380.36,766.29
380.73,772.84
381.10,760.21
381.47,763.72
381.84,779.63
382.21,765.82
382.58,773.55
382.96,799.29
383.33,786.89
383.70,796.48
384.07,824.80
384.44,815.21
384.81,824.10
385.18,838.85
385.55,880.98
385.92,899.00
386.29,904.38
386.66,931.30
387.03,957.28
387.40,998.47
387.77,1022.58
388.14,1039.67
388.52,1068.45
388.89,1112.22
389.26,1165.82
389.63,1193.91
390.00,1228.55
390.37,1245.40
390.74,1269.04
391.11,1270.44
391.48,1240.25
391.85,1203.04
392.22,1104.03
392.59,1024.92
392.96,970.62
393.33,928.02
393.70,939.96
394.07,1032.18
394.44,1165.35
394.81,1305.78
395.18,1453.94
395.55,1637.20
395.92,1760.79
396.29,1882.73
396.66,2001.39
397.03,2152.82
397.40,2315.96
397.76,2493.84
398.13,2733.51
398.50,2921.22
398.87,3036.38
399.24,3135.85
399.61,3287.28
399.98,3424.67
400.35,3602.79
400.72,3774.82
401.09,4092.66
401.46,4433.91
401.83,4748.24
402.20,5125.77
402.57,5449.24
402.93,5749.76
403.30,6125.18
403.67,6480.48
404.04,6652.04
404.41,6962.63
404.78,7039.40
405.15,7237.64
405.52,7383.22
405.89,7442.90
406.26,7430.97
406.62,7556.42
406.99,7501.42
407.36,7438.92
407.73,7298.96
408.10,7236.47
408.47,7096.04
408.84,6906.45
409.20,6674.51
409.57,6430.39
409.94,6202.42
410.31,5819.27
410.68,5574.45
411.05,5361.23
411.41,5048.30
411.78,4783.35
412.15,4470.66
412.52,4211.09
412.89,3895.59
413.26,3669.02
413.62,3454.63
413.99,3272.54
414.36,3125.55
414.73,2989.57
415.10,2896.65
415.46,2756.21
415.83,2740.53
416.20,2652.30
416.57,2614.14
416.93,2509.99
417.30,2462.24
417.67,2433.69
418.04,2339.37
418.41,2323.22
418.77,2283.66
419.14,2212.27
419.51,2167.34
419.88,2123.80
420.24,2087.52
420.61,2009.12
420.98,1949.67
421.34,1908.94
421.71,1848.32
422.08,1804.08
422.45,1721.23
422.81,1676.99
423.18,1645.40
423.55,1555.29
423.92,1532.35
424.28,1479.69
424.65,1431.71
425.02,1381.85
425.38,1363.13
425.75,1335.28
426.12,1300.87
426.48,1265.76
426.85,1257.57
427.22,1218.48
427.58,1198.82
427.95,1142.88
428.32,1157.16
428.68,1135.39
429.05,1140.78
429.42,1126.50
429.78,1071.97
430.15,1066.58
430.52,1076.88
430.88,1043.88
431.25,1029.60
431.62,1005.73
431.98,1030.07
432.35,994.49
432.71,1000.81
433.08,964.07
433.45,955.87
433.81,961.49
434.18,962.66
434.55,950.02
434.91,928.72
435.28,944.41
435.64,933.17
436.01,918.89
436.38,944.87
436.74,901.34
437.11,925.21
437.47,886.59
437.84,874.42
438.20,895.96
438.57,869.98
438.94,862.02
439.30,873.72
439.67,866.23
440.03,837.21
440.40,843.53
440.76,844.23
441.13,846.81
441.49,818.95
441.86,828.78
442.22,840.25
442.59,816.38
442.96,813.57
443.32,822.00
443.69,790.40
444.05,820.36
444.42,787.36
444.78,834.17
445.15,807.25
445.51,824.10
445.88,813.34
446.24,803.97
446.61,818.95
446.97,791.57
447.34,785.95
447.70,799.29
448.07,793.91
448.43,794.38
448.79,787.59
449.16,782.44
449.52,796.02
449.89,791.34
450.25,805.85
450.62,783.61
450.98,785.95
451.35,781.04
451.71,774.72
452.07,784.08
452.44,775.42
452.80,785.72
453.17,774.72
453.53,779.16
453.90,780.10
454.26,801.40
454.62,800.70
454.99,786.42
455.35,785.95
455.72,780.80
456.08,785.48
456.44,774.48
456.81,779.16
457.17,771.21
457.54,774.95
457.90,768.87
458.26,778.93
458.63,772.84
458.99,784.08
459.35,767.70
459.72,772.61
460.08,759.50
460.45,770.50
460.81,766.06
461.17,768.63
461.54,775.19
461.90,768.16
462.26,777.99
462.63,764.89
