wavelength,counts
339.70,617.20
340.08,617.20
340.45,617.20
340.83,617.20
341.20,617.20
341.58,617.20
341.95,587.24
342.33,607.37
342.70,601.75
343.08,580.22
343.45,569.69
343.82,587.94
344.20,582.09
344.57,591.92
344.95,602.45
345.32,612.05
345.70,616.03
346.07,618.37
346.44,635.92
346.82,652.07
347.19,646.69
347.57,636.16
347.94,666.35
348.32,644.82
348.69,670.80
349.06,672.90
349.44,710.82
349.81,684.14
350.18,686.95
350.56,728.14
350.93,722.99
351.31,751.31
351.68,735.16
352.05,741.01
352.43,726.27
352.80,737.74
353.17,747.80
353.55,760.91
353.92,757.63
354.30,769.57
354.67,787.12
355.04,770.27
355.42,771.67
355.79,781.50
356.16,769.57
356.54,761.38
356.91,752.25
357.28,770.50
357.66,771.44
358.03,797.19
358.40,770.97
358.77,757.40
359.15,764.18
359.52,756.23
359.89,773.31
360.27,777.99
360.64,763.95
361.01,775.19
361.39,749.91
361.76,750.38
362.13,768.87
362.50,772.61
362.88,733.52
363.25,754.59
363.62,743.82
364.00,743.59
364.37,759.74
364.74,756.93
365.11,735.40
365.49,757.40
365.86,746.86
366.23,755.06
366.60,736.10
366.97,741.95
367.35,741.01
367.72,759.04
368.09,764.42
368.46,752.48
368.84,746.40
369.21,754.35
369.58,749.67
369.95,751.31
370.32,730.48
370.70,742.89
371.07,766.29
371.44,745.93
371.81,765.36
372.18,756.70
372.56,752.25
372.93,751.31
373.30,751.78
373.67,753.18
374.04,755.06
374.42,758.80
374.79,747.57
375.16,767.93
375.53,752.01
375.90,742.42
376.27,745.93
376.65,760.44
377.02,761.61
377.39,740.78
377.76,755.52
378.13,776.36
378.50,762.78
378.87,759.50
379.24,770.74
379.62,776.36
379.99,748.04
380.36,761.61
380.73,737.97
381.10,757.87
381.47,766.06
381.84,780.57
382.21,763.25
382.58,757.87
382.96,759.04
383.33,749.44
383.70,769.33
384.07,771.67
384.44,759.04
384.81,762.08
385.18,742.18
385.55,768.16
385.92,754.12
386.29,758.80
386.66,765.82
387.03,756.93
387.40,772.14
387.77,761.14
388.14,745.69
388.52,772.14
388.89,765.12
389.26,785.25
389.63,746.16
390.00,761.61
390.37,752.01
390.74,745.93
391.11,746.86
391.48,757.40
391.85,765.12
392.22,751.78
392.59,766.53
392.96,765.12
393.33,766.06
393.70,756.46
394.07,767.70
394.44,757.87
394.81,764.65
395.18,771.91
395.55,761.38
395.92,753.89
396.29,756.93
396.66,763.48
397.03,749.21
397.40,759.74
397.76,748.74
398.13,761.14
398.50,758.57
398.87,752.72
399.24,766.99
399.61,744.52
399.98,735.63
400.35,758.33
400.72,731.18
401.09,749.21
401.46,765.59
401.83,749.67
402.20,754.82
402.57,728.37
402.93,756.93
403.30,754.82
403.67,748.97
404.04,766.99
404.41,759.97
404.78,751.78
405.15,755.06
405.52,748.04
405.89,763.95
406.26,775.89
406.62,749.44
406.99,756.46
407.36,753.89
407.73,758.57
408.10,774.25
408.47,754.35
408.84,745.46
409.20,750.84
409.57,760.67
409.94,766.76
410.31,743.12
410.68,751.78
411.05,757.40
411.41,765.59
411.78,769.10
412.15,774.48
412.52,752.72
412.89,762.31
413.26,769.80
413.62,762.78
413.99,752.25
414.36,748.04
414.73,772.38
415.10,745.46
415.46,756.23
415.83,755.76
416.20,743.12
416.57,769.57
416.93,783.85
417.30,756.46
417.67,758.57
418.04,775.65
418.41,759.27
418.77,763.25
419.14,757.40
419.51,751.31
419.88,775.42
420.24,755.06
420.61,775.19
420.98,752.48
421.34,757.87
421.71,740.78
422.08,747.80
422.45,755.99
422.81,763.01
423.18,763.95
423.55,776.82
423.92,772.61
424.28,761.84
424.65,752.48
425.02,753.18
425.38,756.46
425.75,753.65
426.12,747.33
426.48,738.44
426.85,768.87
427.22,762.78
427.58,758.80
427.95,770.04
428.32,758.10
428.68,764.65
429.05,759.27
429.42,752.95
429.78,767.46
430.15,760.44
430.52,771.21
430.88,758.33
431.25,763.25
431.62,758.57
431.98,754.12
432.35,751.55
432.71,759.74
433.08,754.59
433.45,778.46
433.81,751.31
434.18,758.10
434.55,773.55
434.91,737.03
435.28,762.55
435.64,755.76
436.01,744.06
436.38,760.67
436.74,791.80
437.11,779.40
437.47,791.57
437.84,767.93
438.20,759.74
438.57,780.80
438.94,771.91
439.30,773.08
439.67,776.12
440.03,759.50
440.40,767.70
440.76,778.46
441.13,775.42
441.49,776.59
441.86,791.10
442.22,782.44
442.59,826.21
442.96,952.13
443.32,1122.99
443.69,1404.79
444.05,1937.96
444.42,2679.91
444.78,3259.90
445.15,3154.57
445.51,2392.73
445.88,1422.11
446.24,945.34
446.61,815.91
446.97,795.31
447.34,772.38
447.70,770.50
448.07,757.63
448.43,775.42
448.79,784.55
449.16,768.87
449.52,763.25
449.89,769.33
450.25,773.55
450.62,759.27
450.98,761.61
451.35,779.87
451.71,773.55
452.07,759.04
452.44,773.31
452.80,776.82
453.17,757.40
453.53,754.35
453.90,768.40
454.26,765.59
454.62,784.78
454.99,781.04
455.35,767.93
455.72,755.52
456.08,768.16
456.44,767.23
456.81,763.95
457.17,781.04
457.54,769.57
457.90,752.01
458.26,768.40
458.63,768.87
458.99,786.89
459.35,778.70
459.72,768.87
460.08,768.16
460.45,784.78
460.81,753.18
461.17,770.50
461.54,766.53
461.90,771.67
462.26,760.91
462.63,782.68
462.99,782.44
463.35,766.99
463.72,778.70
464.08,785.02
464.44,759.74
464.80,765.59
465.17,778.46
465.53,784.08
465.89,790.40
466.26,783.14
466.62,770.04
466.98,778.46
467.35,772.14
467.71,784.31
468.07,776.82
468.43,788.99
468.80,792.74
469.16,781.97
469.52,796.48
469.88,778.93
470.25,797.89
470.61,798.12
470.97,788.29
471.33,817.32
471.70,793.68
472.06,787.36
472.42,817.32
472.78,832.29
473.15,847.74
473.51,834.64
473.87,846.81
474.23,860.38
474.59,866.00
474.96,851.49
475.32,857.10
475.68,859.21
476.04,868.57
476.40,895.72
476.77,895.02
477.13,899.00
477.49,881.45
477.85,920.77
478.21,915.62
478.57,930.13
478.94,933.87
479.30,923.81
479.66,927.55
480.02,952.83
480.38,946.75
480.74,964.53
481.11,1037.09
481.47,1085.77
481.83,1127.90
482.19,1189.46
482.55,1233.23
482.91,1315.38
483.27,1394.26
483.63,1450.66
484.00,1499.35
484.36,1571.90
484.72,1630.65
485.08,1673.25
485.44,1764.06
485.80,1803.15
486.16,1902.62
486.52,2003.97
486.88,2016.37
487.24,2112.33
487.61,2146.97
487.97,2254.64
488.33,2280.85
488.69,2330.94
489.05,2404.20
489.41,2437.67
489.77,2443.52
490.13,2453.58
490.49,2505.08
490.85,2477.22
491.21,2482.14
491.57,2499.46
491.93,2452.18
492.29,2478.86
492.65,2424.80
493.01,2416.37
493.37,2370.49
493.73,2338.20
494.09,2309.64
494.45,2294.66
494.81,2235.68
495.17,2230.76
495.53,2183.72
495.89,2132.46
496.25,2122.16
496.61,2040.24
496.97,1990.39
497.33,1944.99
497.69,1888.81
498.05,1797.06
498.41,1696.65
498.77,1629.95
499.13,1568.86
499.49,1481.79
499.85,1409.47
500.21,1341.83
500.57,1292.21
500.93,1223.63
501.29,1171.91
501.65,1134.69
502.01,1074.31
502.37,1030.54
502.72,1020.47
503.08,983.03
503.44,949.56
503.80,936.68
504.16,920.30
504.52,912.81
504.88,923.81
505.24,890.11
505.60,852.19
505.96,864.59
506.31,860.38
506.67,840.95
507.03,838.38
507.39,840.02
507.75,845.17
508.11,826.21
508.47,825.27
508.83,836.51
509.18,794.61
509.54,833.93
509.90,822.46
510.26,813.57
510.62,833.00
510.98,797.19
511.33,797.65
511.69,812.40
512.05,802.34
512.41,821.29
512.77,791.80
513.12,805.85
513.48,797.42
513.84,815.21
514.20,807.48
514.56,830.42
514.91,825.74
515.27,846.81
515.63,813.34
515.99,844.47
516.35,854.53
516.70,857.34
517.06,880.04
517.42,888.47
517.78,893.15
518.13,890.57
518.49,950.96
518.85,966.17
519.21,974.37
519.56,1009.47
519.92,1058.62
520.28,1072.43
520.64,1096.31
520.99,1137.97
521.35,1168.86
521.71,1177.99
522.07,1193.91
522.42,1226.91
522.78,1243.06
523.14,1275.36
523.49,1256.40
523.85,1276.76
524.21,1247.51
524.56,1272.55
524.92,1261.78
525.28,1279.80
525.64,1284.02
525.99,1258.74
526.35,1259.68
526.71,1260.61
527.06,1277.93
527.42,1247.27
527.78,1233.70
528.13,1231.82
528.49,1239.08
528.84,1222.46
529.20,1213.57
529.56,1217.78
529.91,1182.20
530.27,1194.38
530.63,1186.18
530.98,1189.93
531.34,1170.50
531.69,1180.33
532.05,1161.84
532.41,1152.25
532.76,1134.22
533.12,1120.88
533.47,1118.07
533.83,1142.42
534.19,1138.44
534.54,1131.88
534.90,1133.99
535.25,1100.05
535.61,1099.35
535.97,1119.95
536.32,1097.01
536.68,1102.63
537.03,1098.88
537.39,1113.63
537.74,1093.73
538.10,1096.54
538.45,1096.54
538.81,1083.20
539.16,1051.37
539.52,1084.37
539.88,1079.92
540.23,1064.48
540.59,1058.62
540.94,1054.18
541.30,1045.75
541.65,1055.58
542.01,1054.88
542.36,1054.18
542.72,1032.88
