wavelength,counts
339.70,635.22
340.08,635.22
340.45,635.22
340.83,635.22
341.20,635.22
341.58,635.22
341.95,592.62
342.33,579.98
342.70,585.13
343.08,563.37
343.45,582.33
343.82,561.03
344.20,577.88
344.57,568.05
344.95,586.07
345.32,575.54
345.70,616.26
346.07,619.07
346.44,625.16
346.82,642.71
347.19,652.31
347.57,631.01
347.94,648.33
348.32,670.33
348.69,647.39
349.06,685.31
349.44,688.59
349.81,701.22
350.18,691.63
350.56,709.88
350.93,716.44
351.31,723.23
351.68,730.95
352.05,736.57
352.43,743.59
352.80,733.76
353.17,754.12
353.55,744.06
353.92,763.25
354.30,763.48
354.67,759.97
355.04,761.38
355.42,769.80
355.79,769.80
356.16,763.01
356.54,759.50
356.91,751.08
357.28,763.25
357.66,766.53
358.03,762.78
358.40,749.44
358.77,756.23
359.15,768.40
359.52,759.74
359.89,763.25
360.27,760.21
360.64,737.97
361.01,759.97
361.39,752.01
361.76,756.23
362.13,750.38
362.50,749.91
362.88,759.97
363.25,744.99
363.62,748.97
364.00,764.42
364.37,755.76
364.74,761.38
365.11,752.72
365.49,781.74
365.86,763.48
366.23,746.86
366.60,751.08
366.97,755.52
367.35,751.31
367.72,742.42
368.09,753.42
368.46,764.89
368.84,745.93
369.21,730.72
369.58,741.48
369.95,758.80
370.32,732.59
370.70,752.25
371.07,743.35
371.44,734.46
371.81,753.42
372.18,733.29
372.56,749.44
372.93,767.93
373.30,765.36
373.67,745.93
374.04,754.82
374.42,756.70
374.79,750.38
375.16,737.50
375.53,743.12
375.90,757.40
376.27,743.82
376.65,756.93
377.02,771.67
377.39,755.52
377.76,752.25
378.13,748.04
378.50,756.23
378.87,755.99
379.24,741.48
379.62,753.18
379.99,742.18
380.36,763.48
380.73,755.52
381.10,744.99
381.47,764.89
381.84,718.54
382.21,752.48
382.58,752.95
382.96,748.74
383.33,739.84
383.70,753.89
384.07,738.91
384.44,742.65
384.81,743.35
385.18,756.46
385.55,762.08
385.92,740.31
386.29,746.16
386.66,763.95
387.03,750.38
387.40,754.82
387.77,765.12
388.14,757.16
388.52,763.48
388.89,730.72
389.26,739.14
389.63,733.76
390.00,759.74
390.37,733.76
390.74,763.48
391.11,750.61
391.48,771.21
