wavelength,counts
339.70,603.86
340.08,603.86
340.45,603.86
340.83,603.86
341.20,603.86
341.58,603.86
341.95,603.86
342.33,566.41
342.70,615.56
343.08,606.20
343.45,552.37
343.82,559.39
344.20,596.84
344.57,653.01
344.95,582.79
345.32,657.69
345.70,589.82
346.07,641.31
346.44,653.01
346.82,671.73
347.19,711.52
347.57,681.10
347.94,718.54
348.32,655.35
348.69,676.41
349.06,709.18
349.44,702.16
349.81,709.18
350.18,697.48
350.56,765.36
350.93,767.70
351.31,737.27
351.68,697.48
352.05,777.06
352.43,807.48
352.80,791.10
353.17,793.44
353.55,802.80
353.92,861.32
354.30,793.44
354.67,770.04
355.04,791.10
355.42,699.82
355.79,830.89
356.16,765.36
356.54,786.42
356.91,793.44
357.28,784.08
357.66,798.12
358.03,835.57
358.40,723.23
358.77,727.91
359.15,830.89
359.52,784.08
359.89,781.74
360.27,713.86
360.64,737.27
361.01,781.74
361.39,793.44
361.76,819.19
362.13,784.08
362.50,777.06
362.88,751.31
363.25,826.21
363.62,732.59
364.00,718.54
364.37,772.38
364.74,737.27
365.11,758.33
365.49,725.57
365.86,746.63
366.23,770.04
366.60,767.70
366.97,777.06
367.35,765.36
367.72,727.91
368.09,723.23
368.46,758.33
368.84,753.65
369.21,755.99
369.58,774.72
369.95,765.36
370.32,697.48
370.70,748.97
371.07,732.59
371.44,751.31
371.81,725.57
372.18,720.89
372.56,744.29
372.93,713.86
373.30,765.36
373.67,840.25
374.04,802.80
374.42,809.83
374.79,812.17
375.16,760.67
375.53,760.67
375.90,725.57
376.27,770.04
376.65,765.36
377.02,755.99
377.39,819.19
377.76,840.25
378.13,781.74
378.50,751.31
378.87,739.61
379.24,788.76
379.62,779.40
379.99,713.86
380.36,774.72
380.73,725.57
381.10,889.40
381.47,809.83
381.84,779.40
382.21,830.89
382.58,770.04
382.96,805.14
383.33,781.74
383.70,774.72
384.07,830.89
384.44,730.25
384.81,784.08
385.18,805.14
385.55,751.31
385.92,779.40
386.29,774.72
386.66,744.29
387.03,767.70
387.40,793.44
387.77,809.83
388.14,772.38
388.52,753.65
388.89,748.97
389.26,760.67
389.63,718.54
390.00,720.89
390.37,781.74
390.74,791.10
391.11,798.12
391.48,779.40
391.85,774.72
392.22,791.10
392.59,777.06
392.96,786.42
393.33,802.80
393.70,741.95
394.07,779.40
394.44,755.99
394.81,774.72
395.18,793.44
395.55,751.31
395.92,800.46
396.29,732.59
396.66,828.55
397.03,809.83
397.40,770.04
397.76,772.38
398.13,772.38
398.50,751.31
398.87,819.19
399.24,709.18
399.61,744.29
399.98,765.36
400.35,798.12
400.72,774.72
401.09,816.85
401.46,795.78
401.83,798.12
402.20,774.72
402.57,751.31
402.93,873.02
403.30,837.91
403.67,795.78
404.04,786.42
404.41,786.42
404.78,854.30
405.15,791.10
405.52,748.97
405.89,772.38
406.26,732.59
406.62,723.23
406.99,753.65
407.36,779.40
407.73,805.14
408.10,753.65
408.47,802.80
408.84,826.21
409.20,746.63
409.57,760.67
409.94,706.84
410.31,755.99
410.68,763.01
411.05,795.78
411.41,767.70
411.78,805.14
412.15,814.51
412.52,812.17
412.89,725.57
413.26,802.80
413.62,781.74
