wavelength,counts
339.70,573.43
340.08,573.43
340.45,573.43
340.83,573.43
341.20,573.43
341.58,573.43
341.95,579.75
342.33,564.30
342.70,590.52
343.08,542.77
343.45,562.43
343.82,544.64
344.20,549.32
344.57,570.62
344.95,548.15
345.32,591.69
345.70,561.03
346.07,574.60
346.44,582.33
346.82,568.28
347.19,597.30
347.57,623.05
347.94,626.56
348.32,614.16
348.69,653.24
349.06,674.31
349.44,672.20
349.81,687.65
350.18,708.01
350.56,691.39
350.93,704.03
351.31,714.80
351.68,732.12
352.05,713.86
352.43,726.74
352.80,724.16
353.17,744.52
353.55,740.08
353.92,735.86
354.30,758.33
354.67,759.27
355.04,759.50
355.42,750.14
355.79,752.72
356.16,744.99
356.54,744.52
356.91,746.40
357.28,764.18
357.66,756.70
358.03,757.63
358.40,757.16
358.77,767.46
359.15,750.38
359.52,761.14
359.89,749.67
360.27,782.68
360.64,756.46
361.01,740.55
361.39,765.12
361.76,757.40
362.13,747.33
362.50,748.74
362.88,741.25
363.25,737.97
363.62,749.21
364.00,755.06
364.37,737.27
364.74,761.61
365.11,745.69
365.49,755.52
365.86,732.59
366.23,744.29
366.60,733.06
366.97,746.63
367.35,722.06
367.72,752.48
368.09,759.74
368.46,732.35
368.84,760.21
369.21,727.20
369.58,750.84
369.95,752.25
370.32,733.06
370.70,760.44
371.07,758.80
371.44,758.10
371.81,748.74
372.18,751.08
372.56,745.93
372.93,749.67
373.30,777.53
373.67,769.80
374.04,760.67
374.42,749.67
374.79,761.84
375.16,759.74
375.53,753.18
375.90,757.16
376.27,777.76
376.65,789.23
377.02,794.61
377.39,791.80
377.76,825.98
378.13,861.55
378.50,839.32
378.87,862.72
379.24,882.15
379.62,933.41
379.99,952.60
380.36,955.41
380.73,997.07
381.10,1017.66
381.47,1040.60
381.84,1100.99
382.21,1174.95
382.58,1221.99
382.96,1296.66
383.33,1370.85
383.70,1456.98
384.07,1540.07
384.44,1655.46
384.81,1742.06
385.18,1883.90
385.55,2000.69
385.92,2152.12
386.29,2291.85
386.66,2468.80
387.03,2653.93
387.40,2823.86
387.77,3093.25
388.14,3339.94
388.52,3610.04
388.89,3870.31
389.26,4124.96
389.63,4486.10
390.00,4845.38
390.37,5257.78
390.74,5685.63
391.11,6230.04
391.48,6809.09
391.85,7361.45
392.22,7950.33
392.59,8679.41
392.96,9320.48
393.33,10023.81
393.70,10738.14
394.07,11304.55
394.44,12002.03
394.81,12611.04
395.18,13101.62
395.55,13455.74
395.92,13565.28
396.29,13477.04
396.66,13172.30
397.03,12923.74
397.40,12209.17
397.76,11368.92
398.13,10563.31
398.50,9744.35
398.87,9010.36
399.24,8303.52
399.61,7935.12
399.98,7496.03
400.35,7336.64
400.72,7247.70
401.09,7171.64
401.46,7325.88
401.83,7768.94
402.20,8793.86
402.57,10365.53
402.93,12438.31
403.30,14387.51
403.67,16305.11
404.04,17478.65
404.41,18937.51
404.78,20288.47
405.15,21928.95
405.52,24180.78
405.89,26177.02
406.26,28500.94
406.62,30900.92
406.99,33188.80
407.36,35682.64
407.73,37444.36
408.10,38804.68
408.47,39782.09
408.84,39996.71
409.20,39388.64
409.57,38835.10
409.94,37782.33
410.31,36235.71
410.68,34875.85
411.05,33353.57
411.41,31431.52
411.78,29655.76
412.15,27935.46
412.52,26291.94
412.89,24403.36
413.26,22996.00
413.62,21708.94
413.99,20318.19
414.36,19126.62
414.73,18155.07
415.10,16952.50
415.46,16099.37
415.83,15420.39
416.20,14900.79
416.57,14347.72
416.93,14054.21
417.30,13575.34
417.67,13312.73
418.04,12823.80
418.41,12584.59
418.77,12255.75
419.14,11811.51
419.51,11228.02
419.88,10820.53
420.24,10313.57
420.61,9813.87
420.98,9389.53
421.34,9054.60
421.71,8719.20
422.08,8469.23
422.45,8093.10
422.81,7800.77
423.18,7526.93
423.55,7233.19
423.92,6980.18
424.28,6645.95
424.65,6336.06
425.02,6031.33
425.38,5822.08
425.75,5533.96
426.12,5310.21
426.48,5023.96
426.85,4879.78
427.22,4610.15
427.58,4446.55
427.95,4254.16
428.32,4089.62
428.68,3937.95
429.05,3793.77
429.42,3659.90
429.78,3511.27
430.15,3394.71
430.52,3290.09
430.88,3177.75
431.25,3096.06
431.62,2997.06
431.98,2850.54
432.35,2798.81
432.71,2705.19
433.08,2620.46
433.45,2520.52
433.81,2433.69
434.18,2379.15
434.55,2294.43
434.91,2225.85
435.28,2133.40
435.64,2095.48
436.01,2023.86
436.38,1963.94
436.74,1915.03
437.11,1828.66
437.47,1775.06
437.84,1734.81
438.20,1696.19
438.57,1613.57
438.94,1597.18
439.30,1553.18
439.67,1509.18
440.03,1478.28
440.40,1458.15
440.76,1399.41
441.13,1382.09
441.49,1359.38
441.86,1330.83
442.22,1301.57
442.59,1286.59
442.96,1269.74
443.32,1250.08
443.69,1210.53
444.05,1198.59
444.42,1212.16
444.78,1159.03
445.15,1164.65
445.51,1119.71
445.88,1086.94
446.24,1096.07
446.61,1060.96
446.97,1059.09
447.34,1048.56
