Fuente catodo,Voltaje anodo,Voltaje blindaje,
0,0,0,
0.1,0,0,
0.2,0,0,
0.3,0,1,
0.4,0,0.5,
0.5,0,0.7,
0.6,0,0.9,
0.7,0,3.2,
0.8,0,4.6,
0.9,0.1,6.3,
1,0.6,7.9,
1.1,1.7,10,
1.2,3.3,12.1,
1.3,5.5,14.4,
1.4,8.5,16.8,
1.5,11.3,19.3,
1.6,13.8,21.9,
1.7,15.7,24.5,
1.8,17.1,27.2,
1.9,18,30,
2,18.6,32.8,
2.1,18.8,35.7,
2.2,18.9,38.6,
2.3,18.7,41.5,
2.4,18.4,44.4,
2.5,18,47.3,
2.6,17.6,50.4,
2.7,17,53.2,
2.8,16.4,56.1,
2.9,15.8,59,
3,15.3,61.9,
3.1,14.6,64.7,
3.2,13.6,67.5,
3.3,13.2,70.2,
3.4,12.8,72.9,
3.5,12.5,75.7,
3.6,11.9,78.4,
3.7,11.5,81,
3.8,11.2,83.7,
3.9,11,86.3,
4,10.8,89,
